comment_id,author,publish_timestamp,score,tactic,label,text
UgwDyiqWH7Rg49-Zvs54AaABAg,@Respectable_Username,1720626948000,1,,HAM,"That lanyard on a $200 phone is clearly a move aimed at parents who just need to get a phone primarily for their kids to contact them. Having a lanyard and forcing your kid to wear it around their necks means far less likely to lose it when out and about! Am speaking as somebody who, when I was a kiddo getting my first phone back in the flip phone days, that's exactly what my Mum did to me 😛"
Ugw-I-m1G9_ChTGCeKl4AaABAg,@Steven-kun,1720631419000,1,,HAM,"I think this will be my next phone, bez hey why not. I am rocking rn a Samsung A22 5G and its crappy asf other than this phone btw im from germany and would have the money for a better phone but i only use it for discord, whatsapp a little insta and youtube and thats it XD i better get my next 3d printer (thats a cool part of this phone building your own cases and extensions hehe)"
UgyySY3TdF-gqAc5Cgh4AaABAg,@dadbot4eyes,1720711033000,1,SCAM_ADULT,HAM,"A cool and innovative phone at last!! The flagship segment is so boring, so this is nice and refreshing to see. I remember LG had snap on/snap off accessories for one of their handset a few years ago including a camera accessory with physical buttons and larger battery. This a the budget segment version of that and i can see myself getting one."
Ugw3J6S9IiMudE5qlD94AaABAg.A5dAmVcAGF7A66aO8tDQwq,@NochSoEinKaddiFan,1721473056000,1,,HAM,"@theinfyre606 People want to swap the battery if it is old or if you are out and about and have a spare, you just hot swap and are back in the game. It was a thing for quite some time, but then manufacturers glued the batteries in, because they then can make the repair so expensive, that you buy a new phone instead so they make more profit. It is a wastefull move out of greed and people are not having it anymore, simple as that"
Ugw3J6S9IiMudE5qlD94AaABAg.A5dAmVcAGF7A6BjIu1AkTA,@Davesaintgold,1721645504000,1,,HAM,It would be interesting if you made a comment for all the other manufacturers (for example Apple and Samsung who often talk about ecology but then do the opposite) or why don't you go back to making a smartphone with a removable battery? Especially when you spend $1200 and you don't even have a charger in the box. Commenting on a phone under $200 with these statements really makes you smile. Even more likes on your comment. This says a lot about how intelligent and competent people are.
UgwXff6G-ztq6nEmTjB4AaABAg,@rafaelmateo_com,1722553996000,0.9981501367,,HAM,"Listen, for the US I guess NFC is a big deal. But restaurants and businesses in other countries dont even have NFC payment processors. Like, what's most common is QR code pay. And in a restaurant? You are just handing in your credit card, and that has NFC. 

Honestly, the more I see this phone, the more I like it. The screen is not good, it is amazing. The chip is not good, for $200 that's amazing (Gen1 equivalent, areyou kidding me???!!). The quality seems durable. The ONLY point I'd make is the water resistance since I always have a podcast while showering and the steam has already taken out an old Blu that I had. And the camera?! It looks good man! People forget, quality drops when you upload to Instagram."
UgwqHBcrEf9B8X8lQYR4AaABAg,@gregory2421,1720794571000,0.9923577712,,HAM,I don't know where you're getting this $200 price tag from but I know in Canada it's selling for $890. Had to give it a thumbs down for false advertisement and promotion
UgykiYV7n_lr6e0snAB4AaABAg,@loll1,1720456573000,0.9790196018,,HAM,"No NFC would be a dealbreaker for me, cuz I use my phone to pay for everything and dont carry a wallet with me. I think people would gladly pay more for this feature. But for example my mom would absolutely be fine with this phone, because she only uses Whatsapp email youtube etc. 
Iam thinking about buing this as a work phone. Because of the back that can be changed for cheap."
UgxPXOBWTO1S1VVRSjR4AaABAg,@SuessLagerstedt,1721523608000,0.9610929633,,HAM,"I felt this wonderful feeling in my mind, body and soul when she said “I prefer  kislux "
Ugx4BQbL9eZoK7aDpXV4AaABAg,@johnfreeman440,1721132363000,0.9599734621,,HAM,This looks smoother than my $1100 Pixel 8 Pro. Sad.
Ugw3J6S9IiMudE5qlD94AaABAg.A5dAmVcAGF7A5e2qUG6qzi,@disast1ckup,1720481868000,0.9545948668,,HAM,@mkbhdswappable batteries seem cool but my phone generally lasts the whole day & the gaps are filled w chargers in my car or power banks. I Wish the cameras were better or it had nfc.. but at $200 I can’t complain with the feature set.
Ugw3J6S9IiMudE5qlD94AaABAg.A5dAmVcAGF7A5dJKX6AvYZ,@TacticalCoffeeDrinker-tn7ks,1720456956000,0.9543531801,,HAM,@extracrispytea Truely you have come up with a ingenious and revaluationry method for this problem.
Ugx4qsreCqdhLXL7pbR4AaABAg.A5dAPedtG5FA6KLW-wCffA,@JamesR624,1721934494000,0.9499462202,,HAM,"Well yeah. The point was to make a junk phone that would sell on a gimmick. A quck cash grab. NOT to make something actually useful and sustainable. Also, There's literally no reason for the back to require screws. It's JUST to PRETEND it's diifferent from ""A $200 phone with a removable back and that's it"", when it really isn't.
People are really falling for ""Nothing"" just like they did with OnePlus. A chinese sub-brand PRETENDING to be a seperate company ""for the techies"" to make some quick money off of them, use them to build up their rep, and when they have it, slide into yet another ""expensive iClone""."
UgyyOMifxhzU3C3NuPh4AaABAg.A5dCUxVbzE4A5dPltKkZaw,@1vader,1720460334000,0.9497264815,,HAM,"@pocketlint82 Why would you manually open Google Wallet, select a card, and have to even enter a pin? Ofc then it takes way longer. I just unlock the phone using a fingerprint and hold it close and it automatically and basically instantly opens Google Wallet and pays with my default card. It's also super reliable for me on my phone. Though with my watch, the range is a lot lower so it's not as smooth. But still worth it IMO because you don't have to put anything away so you can even have bags or something in both hands. And I guess I have my cards in a wallet so they are much more annoying to take out and especially put away quickly, especially with a bag in one hand."
Ugy0PI70YeBMzs-M4El4AaABAg,@jasonblalock4429,1720512616000,0.9378211461,,HAM,"Man, if this had NFC and a replaceable battery, it'd be just about a perfect $200 phone. Plus, I love the slightly industrial look of this, just for being different and interesting. Generic metal backplates are boring."
UgwWepHD5MEGneKIWPV4AaABAg,@jayceontalylor4244,1724810974000,0.9373054064,,HAM,"Since 70% of the people in this Planet can't pay a $1200 phones and are not getting paid in dollars, so yeah ! some justice in this world"
